"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"09 de set. de 2020","5,3078","5,3615","5,3620","5,2785","103,16K","-1,04%"
"08 de set. de 2020","5,3638","5,3608","5,4096","5,3156","147,82K","1,21%"
"07 de set. de 2020","5,2997","5,2997","5,2997","5,2997","","-0,03%"
"04 de set. de 2020","5,3012","5,2901","5,3285","5,2465","145,33K","0,19%"
"03 de set. de 2020","5,2914","5,3408","5,3752","5,2722","150,52K","-0,92%"
"02 de set. de 2020","5,3403","5,3987","5,4309","5,3407","125,49K","-1,03%"
"01 de set. de 2020","5,3960","5,4927","5,4927","5,3344","110,74K","-1,74%"
"31 de ago. de 2020","5,4914","5,3850","5,4955","5,3850","99,21K","1,92%"
"28 de ago. de 2020","5,3881","5,5700","5,5702","5,3855","113,32K","-3,25%"
"27 de ago. de 2020","5,5691","5,6060","5,6223","5,5435","141,64K","-0,65%"
"26 de ago. de 2020","5,6054","5,5090","5,6342","5,5089","106,65K","1,78%"
"25 de ago. de 2020","5,5075","5,6112","5,6136","5,5049","102,60K","-1,83%"
"24 de ago. de 2020","5,6100","5,5773","5,6148","5,5589","88,21K","-0,16%"
"21 de ago. de 2020","5,6192","5,5587","5,6332","5,5554","102,64K","1,12%"
"20 de ago. de 2020","5,5568","5,5573","5,6733","5,5381","126,75K","-0,01%"
"19 de ago. de 2020","5,5575","5,4674","5,5619","5,4345","107,21K","1,66%"
"18 de ago. de 2020","5,4666","5,5098","5,5168","5,4206","97,98K","-0,77%"
"17 de ago. de 2020","5,5090","5,4410","5,5149","5,4089","96,37K","1,63%"
"14 de ago. de 2020","5,4204","5,3699","5,4422","5,3573","108,86K","0,96%"
"13 de ago. de 2020","5,3690","5,4356","5,4362","5,3490","114,20K","-1,18%"
"12 de ago. de 2020","5,4333","5,3819","5,4925","5,3819","115,28K","0,99%"
"11 de ago. de 2020","5,3800","5,4809","5,4822","5,3716","129,16K","-1,85%"
"10 de ago. de 2020","5,4812","5,4395","5,4907","5,3517","103,33K","0,79%"
"07 de ago. de 2020","5,4383","5,3442","5,4394","5,3401","94,66K","2,00%"
"06 de ago. de 2020","5,3315","5,2915","5,3721","5,2915","97,53K","0,78%"
"05 de ago. de 2020","5,2902","5,2439","5,3204","5,2317","105,88K","0,00%"
"04 de ago. de 2020","5,2900","5,3205","5,3775","5,2744","104,60K","-0,59%"
"03 de ago. de 2020","5,3213","5,2223","5,3364","5,2115","90,48K","1,86%"
"31 de jul. de 2020","5,2240","5,1541","5,2298","5,1531","100,17K","1,37%"
"30 de jul. de 2020","5,1534","5,1705","5,2165","5,1435","103,91K","-0,31%"
"29 de jul. de 2020","5,1692","5,1383","5,1845","5,1145","102,56K","0,31%"
"28 de jul. de 2020","5,1533","5,1493","5,2045","5,1346","100,20K","0,17%"
